/I2/p1 X,/I2/p1 Y
2,1.284634383670928e-08
2.00398,1.442090183597579e-08
2.00796,1.618844689030989e-08
2.01194,1.817263262405626e-08
2.015919999999999,2.040001178836613e-08
2.019899999999999,2.290039159516691e-08
2.023879999999999,2.570723260294578e-08
2.027859999999999,2.885809649231206e-08
2.031839999999999,3.239514872355632e-08
2.035819999999999,3.636572280286585e-08
2.039799999999999,4.082295370831363e-08
2.043779999999999,4.58264889522482e-08
2.047759999999998,5.144328679565735e-08
2.051739999999998,5.774851229636109e-08
2.055719999999998,6.48265431821217e-08
2.059699999999998,7.277209900945748e-08
2.063679999999998,8.169150871877568e-08
2.067659999999998,9.170413354849225e-08
2.071639999999998,1.029439643498426e-07
2.075619999999998,1.155614146779557e-07
2.079599999999997,1.297253336546787e-07
2.083579999999997,1.456252655396637e-07
2.087559999999997,1.63473986247726e-07
2.091539999999997,1.835103507566374e-07
2.095519999999997,2.060024895098992e-07
2.099499999999997,2.312513965893738e-07
2.103479999999997,2.595949576753778e-07
2.107459999999997,2.914124716971661e-07
2.111439999999996,3.271297266834004e-07
2.115419999999996,3.672246977385901e-07
2.119399999999996,4.122339433969154e-07
2.123379999999996,4.627597859506607e-07
2.127359999999996,5.194783718417731e-07
2.131339999999996,5.831487199822407e-07
2.135319999999996,6.546228790896466e-07
2.139299999999996,7.348573299652773e-07
2.143279999999995,8.249257853022639e-07
2.147259999999995,9.260335583132065e-07
2.151239999999995,1.039533692460994e-06
2.155219999999995,1.166945068143967e-06
2.159199999999995,1.309972728642501e-06
2.163179999999995,1.470530697332712e-06
2.167159999999995,1.650767591511592e-06
2.171139999999995,1.853095375602634e-06
2.175119999999994,2.08022163852282e-06
2.179099999999994,2.335185827152882e-06
2.183079999999994,2.621399920793951e-06
2.187059999999994,2.94269409092401e-06
2.191039999999994,3.30336795728162e-06
2.195019999999994,3.70824812619565e-06
2.199,4.159528882411468e-06
