/I0/i X,/I0/i Y
0,-1.859999999999999e-18
0.004,-1.859999999999999e-18
0.008,-1.859999999999999e-18
0.012,-1.859999999999999e-18
0.016,-1.859999999999999e-18
0.02,-1.859999999999999e-18
0.024,-1.859999999999998e-18
0.028,-1.859999999999998e-18
0.032,-1.859999999999998e-18
0.036,-1.859999999999998e-18
0.04000000000000001,-1.859999999999997e-18
0.04400000000000001,-1.859999999999997e-18
0.04800000000000001,-1.859999999999997e-18
0.05200000000000002,-1.859999999999996e-18
0.05600000000000002,-1.859999999999995e-18
0.06000000000000003,-1.859999999999995e-18
0.06400000000000003,-1.859999999999995e-18
0.06800000000000003,-1.859999999999994e-18
0.07200000000000004,-1.859999999999993e-18
0.07600000000000004,-1.859999999999992e-18
0.08000000000000004,-1.859999999999991e-18
0.08400000000000005,-1.85999999999999e-18
0.08800000000000005,-1.859999999999989e-18
0.09200000000000005,-1.859999999999987e-18
0.09600000000000006,-1.859999999999986e-18
0.1000000000000001,-1.859999999999984e-18
0.1040000000000001,-1.859999999999982e-18
0.1080000000000001,-1.85999999999998e-18
0.1120000000000001,-1.859999999999978e-18
0.1160000000000001,-1.859999999999975e-18
0.1200000000000001,-1.859999999999972e-18
0.1240000000000001,-1.859999999999968e-18
0.1280000000000001,-1.859999999999964e-18
0.1320000000000001,-1.85999999999996e-18
0.1360000000000001,-1.859999999999955e-18
0.1400000000000001,-1.859999999999949e-18
0.1440000000000001,-1.859999999999943e-18
0.1480000000000001,-1.859999999999936e-18
0.1520000000000001,-1.859999999999928e-18
0.1560000000000001,-1.859999999999919e-18
0.1600000000000001,-1.85999999999991e-18
0.1640000000000001,-1.859999999999898e-18
0.1680000000000001,-1.859999999999886e-18
0.1720000000000001,-1.859999999999872e-18
0.1760000000000001,-1.859999999999856e-18
0.1800000000000001,-1.859999999999839e-18
0.1840000000000001,-1.859999999999819e-18
0.1880000000000001,-1.859999999999797e-18
0.1920000000000001,-1.859999999999772e-18
0.1960000000000001,-1.859999999999744e-18
0.2000000000000001,-1.859999999999712e-18
0.2040000000000002,-1.859999999999677e-18
0.2080000000000002,-1.859999999999637e-18
0.2120000000000002,-1.859999999999593e-18
0.2160000000000002,-1.859999999999543e-18
0.2200000000000002,-1.859999999999487e-18
0.2240000000000002,-1.859999999999424e-18
0.2280000000000002,-1.859999999999353e-18
0.2320000000000002,-1.859999999999274e-18
0.2360000000000002,-1.859999999999185e-18
0.2400000000000002,-1.859999999999085e-18
0.2440000000000002,-1.859999999998972e-18
0.2480000000000002,-1.859999999998846e-18
0.2520000000000002,-1.859999999998705e-18
0.2560000000000002,-1.859999999998546e-18
0.2600000000000002,-1.859999999998368e-18
0.2640000000000002,-1.859999999998168e-18
0.2680000000000002,-1.859999999997943e-18
0.2720000000000002,-1.859999999997691e-18
0.2760000000000002,-1.859999999997408e-18
0.2800000000000002,-1.85999999999709e-18
0.2840000000000002,-1.859999999996733e-18
0.2880000000000002,-1.859999999996332e-18
0.2920000000000002,-1.859999999995882e-18
0.2960000000000002,-1.859999999995378e-18
0.3000000000000002,-1.859999999994811e-18
0.3040000000000002,-1.859999999994174e-18
0.3080000000000002,-1.85999999999346e-18
0.3120000000000002,-1.859999999992658e-18
0.3160000000000002,-1.859999999991758e-18
0.3200000000000002,-1.859999999990747e-18
0.3240000000000002,-1.859999999989612e-18
0.3280000000000002,-1.859999999988338e-18
0.3320000000000002,-1.859999999986908e-18
0.3360000000000002,-1.859999999985302e-18
0.3400000000000002,-1.8599999999835e-18
0.3440000000000003,-1.859999999981477e-18
0.3480000000000003,-1.859999999979205e-18
0.3520000000000003,-1.859999999976655e-18
0.3560000000000003,-1.859999999973792e-18
0.3600000000000003,-1.859999999970578e-18
0.3640000000000003,-1.85999999996697e-18
0.3680000000000003,-1.85999999996292e-18
0.3720000000000003,-1.859999999958373e-18
0.3760000000000003,-1.859999999953268e-18
0.3800000000000003,-1.859999999947537e-18
0.3840000000000003,-1.859999999941104e-18
0.3880000000000003,-1.859999999933882e-18
0.3920000000000003,-1.859999999925774e-18
0.3960000000000003,-1.859999999916671e-18
0.4000000000000003,-1.859999999906453e-18
0.4040000000000003,-1.859999999894981e-18
0.4080000000000003,-1.859999999882103e-18
0.4120000000000003,-1.859999999867645e-18
0.4160000000000003,-1.859999999851414e-18
0.4200000000000003,-1.859999999833193e-18
0.4240000000000003,-1.859999999812738e-18
0.4280000000000003,-1.859999999789774e-18
0.4320000000000003,-1.859999999763994e-18
0.4360000000000003,-1.859999999735052e-18
0.4400000000000003,-1.859999999702562e-18
0.4440000000000003,-1.859999999666087e-18
0.4480000000000003,-1.859999999625139e-18
0.4520000000000003,-1.859999999579171e-18
0.4560000000000003,-1.859999999527564e-18
0.4600000000000004,-1.85999999946963e-18
0.4640000000000004,-1.859999999404591e-18
0.4680000000000004,-1.859999999331576e-18
0.4720000000000004,-1.859999999249607e-18
0.4760000000000004,-1.859999999157587e-18
0.4800000000000004,-1.859999999054282e-18
0.4840000000000004,-1.859999998938309e-18
0.4880000000000004,-1.859999998808114e-18
0.4920000000000004,-1.859999998661953e-18
0.4960000000000004,-1.85999999849787e-18
0.5000000000000003,-1.859999998313664e-18
0.5040000000000003,-1.859999998106869e-18
0.5080000000000003,-1.859999997874715e-18
0.5120000000000003,-1.859999997614092e-18
0.5160000000000003,-1.859999997321509e-18
0.5200000000000004,-1.859999996993047e-18
0.5240000000000004,-1.859999996624305e-18
0.5280000000000004,-1.859999996210345e-18
0.5320000000000004,-1.859999995745622e-18
0.5360000000000004,-1.859999995223908e-18
